"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000229483",0,NA,NA,NA,NA,NA
"ENSG00000232849",0,NA,NA,NA,NA,NA
"ENSG00000229558",0.754857455748195,0.968381743963357,1.00014301373261,0.968243271878975,0.332922888617044,0.999962774395567
"ENSG00000232977",16.5995743947573,-0.150078642903984,0.351598038881683,-0.426847212747074,0.669490615891521,0.999962774395567
"ENSG00000227893",47.3824777593148,0.0165532199176503,0.41061196625931,0.040313535108221,0.967843163095589,0.999962774395567
"ENSG00000238230",0.195253484308723,1.00873369299116,2.20765778701151,0.456924845384063,0.64772506520639,0.999962774395567
"ENSG00000227640",0,NA,NA,NA,NA,NA
"ENSG00000260962",0.228899933827962,1.29110242381448,2.17719212549904,0.593012627913369,0.553172701210189,0.999962774395567
"ENSG00000228741",3.20196944218797,-0.0862556168730299,0.690810743191529,-0.124861429448145,0.900633254182978,0.999962774395567
"ENSG00000247400",86.7006662892274,-0.0540913790271528,0.216486129083096,-0.24986071512411,0.802695064550512,0.999962774395567
"ENSG00000261498",0.419489872163282,0.566925967604761,1.41022201264009,0.402011855242149,0.687675301432288,0.999962774395567
"ENSG00000243300",1.3044751067305,0.646637586455769,0.758636804658698,0.852367802991951,0.394009984436929,0.999962774395567
"ENSG00000233124",0.112322519452646,0.212332369746342,2.48392370358315,0.0854826456384489,0.931877691740788,0.999962774395567
"ENSG00000226134",0.0483364065304417,0.415541127674888,3.1851696148357,0.130461224337757,0.896201530395858,0.999962774395567
"ENSG00000234056",0.216960536184441,0.823440376119552,2.23931630031796,0.36771954725763,0.713082363646969,0.999962774395567
"ENSG00000225105",0,NA,NA,NA,NA,NA
"ENSG00000260509",2.01883277035995,0.0411421563147977,0.942259125791137,0.0436633142504765,0.965172782298935,0.999962774395567
"ENSG00000231983",0,NA,NA,NA,NA,NA
"ENSG00000228889",38.9819867252634,0.0541703345452098,0.258348186134093,0.209679562128194,0.833917777999243,0.999962774395567
"ENSG00000234168",0.0760065215762025,0.599788354072512,3.18466110090857,0.18833663459556,0.850612768914457,0.999962774395567
